"Author","Degree_13_20","Degree_13_14","Degree_15_16","Degree_17_18","Degree_19_20"
"Christopher_Kurzum",7,NA,NA,NA,7
"Christopher_M._Mitchell",2,2,NA,NA,NA
"Christopher_MacLellan",3,NA,NA,3,NA
"Christopher_V._Le",3,NA,NA,3,NA
"Christopher_Walls",11,NA,NA,11,NA
"Christos_Troussas",2,NA,NA,2,NA
"Christothea_Herodotou",2,NA,NA,NA,2
"Chukwudi_E._Amadi",3,NA,NA,NA,3
"Chul_Sung",2,NA,NA,NA,2
"Chun_W._Liew",3,NA,1,2,NA
"Chun-Kit_Yeung",1,NA,NA,NA,1
"Chunyan_Miao",4,NA,4,NA,NA
"Cindy_E._Hmelo-Silver",6,NA,NA,NA,6
"Claire_E._Stevenson",0,NA,NA,0,NA
"Clara_Cahill",6,6,NA,NA,NA
"Clarence_Ngoh",7,NA,NA,NA,7
"Claude_Frasson",3,NA,3,3,NA
"Claude_Moulin",2,2,NA,NA,NA
"Claudia_Mazziotti",5,NA,NA,5,NA
"Clauvice_Kenfack",3,NA,3,NA,NA
"Clayton_Barham",11,NA,NA,11,NA
"Cleo_Schulten",3,NA,NA,NA,3
"Colette_Hume",9,NA,9,NA,NA
"Colin_Gerber",5,NA,5,NA,NA
"Collin_Lynch",14,NA,4,13,NA
"Corentin_Jouault",2,NA,2,NA,NA
"Corinne_Caillaud",2,NA,NA,2,NA
"Courtney_Dean",3,3,NA,NA,NA
"Craig_Ganoe",4,NA,4,NA,NA
"Craig_Zilles",5,NA,NA,NA,5
"Crediné_Menezes",2,NA,NA,2,NA
"Cristi_L._Ogle",3,3,NA,NA,NA
"Cristina_Conati",14,7,4,7,1
"Cristina_Dumdumaya",6,NA,NA,6,NA
"Cristina_Hava_Muntean",1,NA,1,NA,NA
"Cristina_Heffernan",7,5,3,NA,NA
"Cristina_Lindquist_Heffernan",1,1,NA,NA,NA
"Cui_Tang",4,NA,NA,4,NA
"Cynthia_Howard",3,NA,NA,3,NA
"Cyril_Goutte",2,NA,NA,2,NA
"Cyrille_Suire",3,NA,3,NA,NA
"Da_Cao",4,NA,NA,4,NA
"Damla_Ezgi_Akcora",11,NA,NA,11,NA
"Dan_Carpenter",9,NA,NA,NA,9
"Dan_Noren",6,6,NA,NA,NA
"Dana_Al_Qudah",4,4,NA,NA,NA
"Dana_Cataldo",3,3,NA,NA,NA
"Daniel_Auerbach",14,6,4,6,NA
"Daniel_Borges",4,NA,NA,4,NA
"Daniel_Brenner",2,NA,NA,NA,2
"Daniel_L._Schwartz",4,NA,NA,3,1
"Daniel_M._Belenky",3,3,NA,NA,NA
"Daniel_M._Russell",2,NA,NA,2,NA
"Daniel_Manzo",5,NA,NA,5,NA
"Daniel_Pead",6,NA,NA,6,NA
"Daniel_Rees_Lewis",2,NA,NA,2,NA
"Daniel_Smilek",5,NA,NA,3,5
"Daniel_Weitekamp",4,NA,NA,NA,4
"Daniela_Nossa_Diaz",11,NA,NA,11,NA
"Daniele_Di_Mitri",5,NA,NA,0,5
"Danielle_Allessio",8,NA,NA,8,NA
"Danielle_Clewley",3,NA,3,NA,NA
"Danielle_Dumond",3,3,NA,NA,NA
"Danielle_McNamara",40,5,16,28,14
"Danilo_Symonette",7,NA,NA,NA,7
"Daniyal_Khan",7,NA,NA,NA,7
"Daouda_Sawadogo",3,NA,3,NA,NA
"Dar-Wei_Chen",3,NA,NA,3,NA
"Daria_Bondareva",5,5,NA,NA,NA
"Darren_J._Norton",2,NA,NA,2,NA
"Darshak_Chhatbar",2,NA,NA,NA,2
"Daryn_A._Dever",2,NA,NA,NA,2
"David_A._Malek",7,NA,NA,NA,7
"David_Adamson",8,8,NA,NA,NA
"David_Arnau",7,1,7,NA,NA
"David_Azcona",2,NA,NA,2,NA
"David_Barel",4,NA,NA,4,NA
"David_Culler",6,NA,NA,6,NA
"David_Deisadze",4,NA,NA,NA,4
"David_E._Pritchard",4,NA,NA,NA,4
"David_Edgar_K._Lelei",1,0,NA,1,1
"David_F._Cihak",3,3,NA,NA,NA
"David_Fernandes",7,NA,NA,NA,7
"David_Hatfield",2,NA,NA,NA,2
"David_Jackson",10,NA,NA,10,NA
"David_Joyner",1,NA,NA,1,NA
"David_Lang",4,NA,NA,NA,4
"David_Pritchard",8,NA,NA,NA,8
"David_Sebastian_Schlepps",2,NA,NA,2,NA
"David_Vince",2,NA,NA,NA,2
"David_Williamson_Shaffer",5,5,NA,NA,NA
"David_Yaron",4,NA,4,NA,NA
"Davide_Fossati",5,4,NA,3,2
"Deanne_Adams",6,4,2,4,NA
"Deborah_Butler",7,NA,NA,7,NA
"Deborah_Richards",5,NA,NA,5,NA
"Deborah_Viviane_Ferrari",4,NA,NA,4,4
"Deena_Bernett",4,NA,4,NA,NA
"Deena_Soffer_Goldstein",5,5,NA,NA,NA
"Dehong_Luo",5,NA,NA,NA,5
"Del_Hebert",5,NA,NA,5,NA
