"Author","Degree_13_20","Degree_13_14","Degree_15_16","Degree_17_18","Degree_19_20"
"Eagle__M.J",1,1,NA,NA,NA
"Edwards__T",6,NA,6,NA,NA
"Eglington__L.",4,NA,NA,NA,4
"Ekambaram__V",5,NA,NA,5,NA
"Ekanadham__C.",3,NA,3,NA,NA
"Elizabeth_Owen__V",6,NA,NA,NA,6
"Elkina__M",7,7,NA,NA,NA
"Elliott__M",5,NA,NA,NA,5
"Emerson__A",8,NA,NA,NA,8
"Emery__M.A",5,NA,NA,5,NA
"Emond__B",4,NA,3,NA,1
"Epp__C.D.",3,NA,3,NA,NA
"Erickson__E",3,NA,NA,3,NA
"Essa__A",14,NA,9,5,NA
"Esteban__A",2,NA,NA,2,NA
"Ezeife__C.I.",1,1,NA,NA,NA
"Ezen-Can__A",1,1,NA,NA,NA
"Ezra__O",7,NA,NA,NA,7
"Falakmasir__M.H",3,3,NA,NA,NA
"Falkner__K",2,NA,2,NA,NA
"Faltings__B.",1,NA,NA,1,NA
"Fancsali__S",10,2,NA,NA,8
"Fancsali__S.E",9,5,3,3,NA
"Fancsali__S.E.",1,NA,1,NA,NA
"Fang__W",8,NA,NA,NA,8
"Fang__Y",19,NA,4,16,NA
"Farghally__M.F",4,NA,4,NA,NA
"Farrar__S",2,NA,NA,NA,2
"Faucon__L",2,NA,2,NA,NA
"Feild__J",9,NA,9,NA,NA
"Feng__M",20,NA,9,NA,NA
"Feng__S",16,4,NA,12,NA
"Feng__Y.",4,NA,NA,4,NA
"Ferreira__R",3,NA,NA,NA,3
"Ferschke__O",4,NA,4,NA,NA
"Fitch__D.",5,NA,NA,5,NA
"Flatten__J",2,NA,NA,2,NA
"Flemming__R",6,NA,NA,NA,6
"Forsyth__C",3,NA,NA,3,NA
"Fortenbacher__A",7,7,NA,NA,NA
"Fouh__E",4,NA,4,NA,NA
"France__S.L",2,2,NA,NA,NA
"Frankosky__M",5,NA,5,NA,NA
"Frankosky__M.H",8,NA,8,NA,NA
"Fredericks__C",6,NA,NA,6,NA
"Frijters__J",12,NA,NA,12,NA
"Frishkoff__G",2,NA,NA,2,NA
"Fu__C",2,NA,NA,2,NA
"Fu__G",6,NA,NA,NA,6
"Furr__D.",2,NA,NA,NA,2
"Gašević__D",5,NA,NA,5,NA
"Gašević__D.",8,NA,4,NA,4
"Gaševic__D.",2,NA,NA,NA,2
"Gagnon__V",3,NA,NA,NA,3
"Gal__K",11,NA,NA,4,7
"Gal__K.",2,NA,NA,NA,2
"Galyardt__A.",3,NA,3,NA,NA
"Ganapathi__V.",2,NA,NA,2,NA
"Gandhi__A",4,NA,4,NA,NA
"Gao__J",4,NA,NA,NA,4
"Gao__J.",2,NA,NA,NA,2
"Gao__M",3,NA,NA,3,NA
"Gao__X",3,NA,NA,3,NA
"García-Saiz__D",1,1,NA,NA,NA
"García__S",5,NA,NA,NA,5
"Garcia__J.",2,NA,NA,NA,2
"Gardner__J",3,NA,NA,1,3
"Gardner__M",3,NA,NA,NA,3
"Garg__A",1,NA,NA,1,NA
"Garrido__G.",2,NA,NA,2,NA
"Gasevic__D.",6,NA,NA,NA,6
"Gasser__C",6,NA,NA,6,NA
"Gatewood__J",12,NA,NA,12,NA
"Gautam__D",7,NA,4,5,NA
"Gautreau__H",4,NA,NA,4,NA
"Gehringer__E",7,NA,NA,NA,7
"Gehringer__E.F.",2,2,NA,NA,NA
"Geigle__C",4,NA,NA,4,NA
"Gelman__B",4,NA,4,NA,NA
"Genin__K",3,3,NA,NA,NA
"Gerber__S",2,NA,NA,NA,2
"Getoor__L.",2,NA,2,NA,NA
"Ghavidel__H.A",4,NA,NA,4,NA
"Gibaja__E",4,NA,NA,4,NA
"Gilad-Bachrach__R",7,NA,NA,NA,7
"Giles__C.L.",4,NA,NA,NA,4
"Gitinabard__N",10,NA,NA,8,6
"Gitinabard__N.",3,NA,NA,3,NA
"Gjekmarkaj__E",2,NA,NA,NA,2
"Gobert__J",2,NA,NA,2,NA
"Gobert__J.",2,NA,NA,NA,2
"Gobert__J.D.",2,2,NA,NA,NA
"Godley__A",6,NA,NA,NA,6
"Golab__L.",8,3,1,4,3
"Goldin__I.M",2,2,NA,NA,NA
"Goldwasser__D",4,NA,NA,4,NA
"Gomes__J.S",3,3,NA,NA,NA
"Gong__J.",1,NA,NA,NA,1
"González-Brenes__J.P",3,1,2,NA,NA
"González__P",4,NA,NA,4,NA
"Gordon__G.J",3,3,NA,NA,NA
"Goslin__K",1,1,NA,NA,NA
"Goutte__C",5,NA,3,2,NA
"Gowda__S.M",3,3,NA,NA,NA
"Graesser__A",8,NA,NA,8,NA
"Graesser__A.",19,NA,3,17,NA
"Graesser__A.C",24,17,NA,9,NA
"Graesser__A.C.",9,NA,6,5,NA
"Grafsgaard__J.F",5,4,5,NA,NA
"Granziol__U",4,NA,NA,4,NA
"Grawemeyer__B",5,NA,NA,5,NA
"Gray__G",2,2,NA,NA,NA
"Greenberg__D",14,NA,NA,14,NA
"Greene__D",2,NA,2,NA,NA
"Greiff__S.",2,2,NA,NA,NA
"Griffiths__T.L.",2,NA,2,NA,NA
"Grimaldi__P",10,NA,NA,6,4
"Grimaldi__P.J",5,NA,NA,5,NA
"Grimalt-Reynes__A",2,NA,2,NA,NA
"Gross__M.",5,NA,3,4,4
"Gross__S",4,4,NA,NA,NA
"Grosz__B",4,NA,NA,4,NA
"Grover__S",5,NA,NA,5,NA
"Gruver__N",5,NA,NA,NA,5
"Gu__X",4,NA,NA,4,NA
"Guerra-Hollstein__J.D",2,NA,2,NA,NA
"Guo__J",2,NA,NA,2,NA
"Guo__Q",2,NA,NA,2,NA
"Guo__R.J.",3,NA,3,NA,NA
"Guo__Y",6,NA,NA,NA,6
"Guo__Z",1,NA,NA,NA,1
"Gupta__U",6,NA,NA,6,NA
"Gureckis__T.M.",6,NA,NA,6,NA
"Guthrie__M.W",1,NA,NA,NA,1
"Gutierrez-Santos__S",5,NA,NA,5,NA
"Héguy__O",3,3,NA,NA,NA
"Hérouard__C.",1,NA,NA,NA,1
"Halpern__D",6,NA,NA,6,NA
"Hammer__B.",6,4,2,NA,NA
"Hamouda__S",4,NA,4,NA,NA
"Han__B",3,NA,3,NA,NA
"Han__N.-R",4,NA,NA,4,NA
"Han__S.-Y",2,NA,NA,2,NA
"Han__W",4,NA,NA,4,NA
"Han__Y",5,NA,NA,2,4
"Hansen__C",3,NA,NA,3,2
"Hao__J",4,NA,4,NA,NA
"Hardee__T.",3,NA,NA,3,NA
"Hardey__J",5,NA,NA,5,NA
"Harmon__J",1,NA,NA,NA,1
"Harpstead__E",9,5,3,NA,4
"Harrak__F",4,NA,NA,2,4
"Hartman__K",5,NA,3,3,NA
"Hashimoto__M.",4,NA,NA,4,NA
"Hatala__M",2,NA,NA,NA,2
"Hauff__C",3,NA,3,NA,NA
"Hauff__C.",2,NA,NA,2,NA
"Hawkins__W",3,3,NA,NA,NA
"Hayashi__Y",1,NA,NA,1,NA
"Heckman__S",5,NA,NA,3,3
"Heckman__S.",4,NA,NA,4,NA
"Heffernan__C",5,NA,NA,5,NA
"Heffernan__N",11,3,4,NA,4
"Heffernan__N.",21,5,5,9,3
"Heffernan__N.__II",8,NA,8,NA,NA
"Heffernan__N.T",9,NA,NA,9,NA
"Heffernan__N.T.",13,6,2,6,2
"Herbsleb__J",5,NA,5,NA,NA
"Hernandez__J",3,NA,3,NA,NA
"Herold__J",5,5,NA,NA,NA
"Hershkovitz__A",23,3,NA,6,7
"Hershkovitz__S",2,NA,NA,NA,2
"Hicks__A.",0,0,NA,NA,NA
"Hicks__A.G",3,NA,NA,3,NA
"Hicks__D",8,NA,8,NA,NA
"Hicks__J",2,NA,NA,NA,2
"Hicks__N.M",4,NA,NA,4,NA
"Hill__B",4,NA,NA,4,NA
"Hjuler__N",5,NA,NA,5,2
"Ho__A",5,5,NA,NA,NA
"Hoernle__N",6,NA,NA,4,2
"Hoffmann__K",3,NA,3,NA,NA
"Hofman__A.D",5,NA,NA,NA,5
"Hofmann__M.",1,1,NA,NA,NA
"Holmes__W",5,NA,NA,5,NA
"Holstein__K",11,NA,3,NA,8
"Hong__W",1,NA,NA,1,NA
"Hong__W.-J",5,NA,5,NA,NA
"Hosman__E",3,NA,NA,3,NA
"Houben__G.-J.",3,NA,3,NA,NA
"Howlin__C.P",1,NA,NA,NA,1
"Hsiao__I.-H.",3,NA,1,2,NA
"Hu__Q",1,NA,NA,NA,1
"Hu__X",16,NA,3,6,NA
"Hu__X.",27,8,4,21,NA
"Hua__H",11,11,NA,NA,NA
"Huang__J",9,5,NA,4,NA
"Huang__K",2,NA,NA,NA,2
"Huang__P.-K",2,NA,NA,2,NA
"Huang__X",11,8,4,2,NA
"Huang__Y",10,NA,2,NA,8
"Hughes__B",3,NA,NA,3,NA
"Hughes__C.E.",1,NA,1,NA,NA
"Hunter__M.",2,2,NA,NA,NA
"Hush__D",3,NA,NA,3,NA
"Hutt__S",12,NA,4,5,4
"Hylak__B.",2,NA,NA,NA,2
"Iandoli__M",4,NA,NA,NA,4
"Ikeda__M.",0,NA,NA,NA,0
"Inventado__P",5,NA,5,NA,NA
"Inventado__P.S",11,3,8,NA,NA
"Ishola__O.M",1,NA,NA,1,NA
"Isotani__S",5,NA,NA,NA,5
"Jackson__G.T",3,3,NA,NA,NA
"Jacobs__D",6,NA,NA,NA,6
"Jacobsen__A",1,NA,NA,NA,1
"Jacobson__M.J.",2,2,NA,NA,NA
"Jacovina__M.E",7,NA,7,NA,NA
"Jain__S",2,NA,NA,2,NA
"Janisiewicz__P.",3,3,NA,NA,NA
"Jansen__R.A",2,NA,2,NA,NA
"Jarratt__D.C",3,NA,NA,NA,3
"Jarušek__P",2,2,NA,NA,NA
"Jayaraman__J.D",2,NA,NA,NA,2
"Jeffries__B",3,NA,3,NA,NA
"Jensen__E",2,NA,NA,NA,2
"Jensen__J",2,NA,2,NA,NA
"Jeon__B",4,NA,NA,NA,4
"Ji__S",4,NA,NA,NA,4
"Ji__Y.",4,NA,NA,4,NA
"Jiang__H",4,NA,NA,NA,4
"Jiang__N",1,NA,NA,NA,1
"Jiang__T.",2,NA,NA,NA,2
"Jiang__Y",1,NA,1,NA,NA
"Jiang__Z",3,NA,3,NA,NA
"Jing__X",4,NA,NA,NA,4
"Jo__J",3,NA,1,NA,3
"Jo__Y",4,NA,4,NA,NA
"Joe-Wong__C",4,NA,NA,4,NA
"Johnson__A.C",4,NA,4,NA,NA
"Johnson__A.M",4,NA,NA,4,NA
"Johnson__M.W",2,2,NA,NA,NA
"Johri__A",4,NA,4,NA,NA
"Johri__A.",2,NA,2,NA,NA
"Jordan__P",4,NA,NA,4,NA
"Joshi__A",3,3,NA,NA,NA
"Jovanovic__J",4,NA,NA,4,NA
"Ju-Lu__Y",2,NA,NA,2,NA
"Ju__S",4,NA,NA,NA,4
"Juffs__A",4,NA,NA,4,NA
"Jugo__I",2,NA,2,NA,NA
"Jun__D",4,NA,NA,4,NA
"Käser__T",5,NA,3,4,1
"Kai__S",13,NA,4,10,NA
"Kang__J",3,NA,NA,NA,3
"Kang__K",5,NA,5,NA,NA
"Kangxu__L.",4,NA,NA,4,NA
"Kantar__R",5,NA,NA,5,NA
"Kaplan__G",5,NA,NA,NA,5
"Kappe__L",7,7,NA,NA,NA
"Karayev__S",3,NA,NA,NA,3
"Kardan__S",2,2,NA,NA,NA
"Karklin__Y",3,NA,3,NA,NA
"Karumbaiah__S",10,NA,NA,8,2
"Karypis__G.",4,NA,NA,1,4
"Kashima__H.",2,NA,NA,NA,2
"Katz__S.",4,NA,NA,4,NA
"Kawashima__H",4,NA,NA,4,NA
"Kay__J.",2,2,0,NA,NA
"Kelly__K",2,2,NA,NA,NA
"Kelly__S",18,NA,8,7,6
"Kennedy__G",4,NA,NA,NA,4
"Kent__K.M",6,NA,6,NA,NA
"Keshtkar__F",3,3,NA,NA,NA
"Keylor__E",6,NA,NA,NA,6
"Khajah__M",2,NA,2,NA,NA
"Khan__A",4,NA,NA,4,3
"Khan__S.",1,NA,1,NA,NA
"Khayi__N.A",1,NA,NA,NA,1
"Khong__A.W.H.",5,NA,3,3,NA
"Khoshnevisan__F",8,NA,NA,3,5
"Khosravi__H",5,NA,NA,2,3
"Khurana__G",7,NA,NA,NA,7
"Kidwai__K.",1,1,NA,NA,NA
"Kidziński__Ł",4,NA,4,NA,NA
"Kim__B.-H",2,NA,NA,2,NA
"Kim__G",3,NA,NA,NA,3
"Kim__J",3,3,NA,NA,NA
"Kim__S",3,NA,3,NA,NA
"Kim__Y.-J",6,NA,NA,NA,6
"Kimura__H",4,NA,NA,4,NA
"Kimura__H.",2,NA,2,NA,NA
"Kindel__A",3,NA,NA,3,NA
"Kinnebrew__J.S",3,2,2,NA,NA
"Kinshu",9,NA,9,NA,NA
"Kitchen__C.",4,NA,4,NA,NA
"Kitto__K.",2,NA,NA,2,NA
"Klabbers__M",3,NA,NA,3,NA
