"Author","Degree_13_20","Degree_13_14","Degree_15_16","Degree_17_18","Degree_19_20"
"Gross__M.",4,2,2,NA,NA
"Groth__D.",13,NA,NA,13,NA
"Grover__S.",9,NA,5,5,NA
"Gruzd__A.",4,4,3,NA,NA
"Gu__X.",2,NA,NA,2,NA
"Guamán__B.",5,NA,NA,5,NA
"Guarnieri__G.",9,NA,NA,NA,9
"Guidi__B.",5,NA,NA,5,NA
"Guidotti__R.",4,NA,NA,NA,4
"Guin__N.",3,NA,NA,3,NA
"Gunkel__M.",4,NA,NA,NA,4
"Gunnarsson__B.L.",1,1,NA,NA,NA
"Gutiérrez__F.",4,NA,NA,4,NA
"Guyet__T.",4,NA,4,NA,NA
"Gweon__G.",5,NA,NA,5,NA
"Gweon__G.-H.",8,NA,8,NA,NA
"Gyamfi__G.",3,NA,NA,NA,3
"Gyawali__B.",8,NA,NA,NA,8
"Héctor__J.P.-D.",3,NA,3,NA,NA
"Hadgraft__R.",6,NA,NA,NA,6
"Hadwin__A.F.",3,NA,NA,3,NA
"Hadzikadic__M.",4,NA,NA,NA,4
"Hagood__D.",2,NA,2,NA,NA
"Halatchliyski__I.",3,3,NA,NA,NA
"Halawa__S.",10,NA,NA,NA,10
"Halb__W.",3,3,NA,NA,NA
"Hallinen__N.R.",2,NA,NA,2,NA
"Hamid__T.",4,NA,NA,4,NA
"Han__A.",6,NA,NA,6,NA
"Han__F.",2,NA,2,NA,NA
"Hanna__B.E.",3,NA,NA,NA,3
"Hansen__J.D.",1,NA,1,NA,NA
"Hansen__L.K.",2,NA,NA,NA,2
"Hansen__S.",5,NA,NA,5,NA
"Hardy__C.",4,NA,4,NA,NA
"Harfield__T.D.",0,0,NA,NA,NA
"Harpstead__E.",3,NA,NA,NA,3
"Harrak__F.",3,NA,NA,3,3
"Harrer__A.",1,0,1,NA,NA
"Harrison__S.",3,NA,3,NA,NA
"Hashiba__S.",3,NA,3,NA,NA
"Hasselbring__T.",2,2,NA,NA,NA
"Hasselman__F.",2,NA,NA,2,NA
"Hassinen__M.",1,NA,NA,NA,1
"Hatala__M.",24,3,16,1,7
"Hattab__D.",4,NA,NA,NA,4
"Hauff__C.",8,NA,NA,6,2
"Hausknecht__S.N.",2,2,NA,NA,NA
"Hawksey__M.",5,5,NA,NA,NA
"Hawn__A.",0,NA,0,NA,NA
"Hawn__M.A.",6,NA,NA,6,NA
"Hayes__C.",6,NA,NA,6,NA
"Haythornthwaite__C.",4,4,3,0,NA
"He__J.",4,NA,4,NA,NA
"He__Y.",3,3,NA,NA,NA
"Healion__D.",3,NA,NA,3,NA
"Heck__A.",4,4,NA,NA,NA
"Hecking__T.",9,5,2,3,2
"Heffernan__C.",8,NA,2,6,NA
"Heffernan__N.",15,NA,5,10,NA
"Heffernan__N.T.",14,NA,11,2,5
"Heins__M.",4,NA,4,NA,NA
"Hemberg__E.",4,NA,NA,NA,4
"Hennis__T.",5,NA,NA,5,NA
"Heo__J.",5,NA,NA,NA,5
"Herder__E.",6,4,5,NA,NA
"Herder__T.",6,NA,NA,6,NA
"Hernández-Leo__D.",3,NA,NA,NA,3
"Hernandez-Leo__D.",7,NA,7,3,NA
"Herodotou__C.",12,NA,9,5,NA
"Herrmannova__D.",5,5,NA,NA,NA
"Hershkovitz__A.",3,NA,2,NA,1
"Heskes__T.",4,NA,4,NA,NA
"Hickey__D.",3,NA,3,NA,NA
"Hickey__D.T.",7,4,4,NA,NA
"Hicks__D.",7,NA,7,NA,NA
"Hilliger__I.",4,NA,NA,NA,4
"Hirnstein__M.",5,NA,NA,5,NA
"Hlosta__M.",13,5,4,8,NA
"Hmelo-Silver__C.E.",2,2,NA,NA,NA
"Hoel__T.",15,NA,8,8,NA
"Hoernle__N.",7,NA,NA,NA,7
"Hoffman__E.S.",2,NA,2,NA,NA
"Hoffmann__D.",3,NA,3,NA,NA
"Hollmén__J.",3,NA,NA,3,NA
"Holman__C.",11,2,5,NA,5
"Holmes__W.",5,NA,5,NA,NA
"Holstein__K.",5,NA,NA,5,NA
